Area,Sales,Avg_Price,Med_Price
C01,189,"$268,978","$249,000"
C02,34,"$462,197","$367,550"
C03,11,"$411,591","$375,000"
C04,19,"$256,658","$207,000"
C06,1,"$235,000","$235,000"
C07,42,"$234,276","$231,750"
C08,115,"$257,879","$229,000"
C09,27,"$490,800","$350,000"
C10,37,"$284,619","$271,500"
C11,10,"$167,050","$178,000"
C12,9,"$508,306","$338,000"
C13,25,"$222,024","$204,000"
C14,124,"$238,368","$220,250"
C15,36,"$221,881","$196,250"
